frame,timecode,name,X,Y,Z,min,max
37,00:00:01.233,trunk.003,178.742,-0.102,-0.364,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
37,00:00:01.233,rear_R.IK,0.000,-0.000,180.000,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
38,00:00:01.267,trunk.002,176.599,0.162,2.718,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
38,00:00:01.267,trunk.003,178.744,0.004,0.016,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
38,00:00:01.267,rear_R.IK,0.000,-0.000,180.000,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
39,00:00:01.300,trunk.002,176.610,0.316,5.320,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
39,00:00:01.300,trunk.003,178.742,0.111,0.395,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
39,00:00:01.300,rear_R.IK,0.000,-0.000,180.000,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
40,00:00:01.333,trunk.002,176.628,0.469,7.909,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
40,00:00:01.333,trunk.003,178.737,0.217,0.773,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
40,00:00:01.333,rear_R.IK,0.000,-0.000,180.000,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
41,00:00:01.367,trunk.002,176.652,0.620,10.477,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
41,00:00:01.367,trunk.003,178.729,0.322,1.147,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
41,00:00:01.367,rear_R.IK,0.000,-0.000,180.000,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
42,00:00:01.400,trunk.002,176.683,0.768,13.019,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
